trial_code,code,number,name,rhythm,harmony,condition,block,trigger,,,,
78,14,261,HIGH RHYTHM 1 HH,high,high,equal,block3,114,,,,
79,15,269,HIGH RHYTHM 2 MH,high,medium,equal,block4,115,,,,
80,16,271,HIGH RHYTHM 2 HH,high,high,equal,block4,116,,,,
81,1,395,METRONOME 1 MH,iso,medium,faster,block3,201,,,,
82,2,398,METRONOME 1 HH,iso,high,faster,block3,202,,,,
83,3,394,METRONOME 2 MH,iso,medium,faster,block4,203,,,,
84,4,397,METRONOME 2 HH,iso,high,faster,block4,204,,,,
85,5,305,LOW RHYTHM 1 MH,low,medium,faster,block3,205,,,,
86,6,307,LOW RHYTHM 1 HH,low,high,faster,block3,206,,,,
87,7,324,LOW RHYTHM 3 MH,low,medium,faster,block4,207,,,,
88,8,326,LOW RHYTHM 3 HH,low,high,faster,block4,208,,,,
89,9,333,MEDIUM RHYTHM 1 MH,medium,medium,faster,block3,209,,,,
90,10,335,MEDIUM RHYTHM 1 HH,medium,high,faster,block3,210,,,,
91,11,350,MEDIUM RHYTHM 3 MH,medium,medium,faster,block4,211,,,,
92,12,352,MEDIUM RHYTHM 3 HH,medium,high,faster,block4,212,,,,
93,13,359,HIGH RHYTHM 1 MH,high,medium,faster,block3,213,,,,
94,14,361,HIGH RHYTHM 1 HH,high,high,faster,block3,214,,,,
95,15,369,HIGH RHYTHM 2 MH,high,medium,faster,block4,215,,,,
96,16,371,HIGH RHYTHM 2 HH,high,high,faster,block4,216,,,,
97,1,195,METRONOME 1 MH,iso,medium,slower,block5,1,,,,
98,2,198,METRONOME 1 HH,iso,high,slower,block5,2,,,,
99,3,194,METRONOME 2 MH,iso,medium,slower,block6,3,,,,
100,4,197,METRONOME 2 HH,iso,high,slower,block6,4,,,,
101,5,105,LOW RHYTHM 1 MH,low,medium,slower,block5,5,,,,
102,6,107,LOW RHYTHM 1 HH,low,high,slower,block5,6,,,,
103,7,124,LOW RHYTHM 3 MH,low,medium,slower,block6,7,,,,
104,8,126,LOW RHYTHM 3 HH,low,high,slower,block6,8,,,,
105,9,133,MEDIUM RHYTHM 1 MH,medium,medium,slower,block5,9,,,,
106,10,135,MEDIUM RHYTHM 1 HH,medium,high,slower,block5,10,,,,
107,11,150,MEDIUM RHYTHM 3 MH,medium,medium,slower,block6,11,,,,
108,12,152,MEDIUM RHYTHM 3 HH,medium,high,slower,block6,12,,,,
109,13,159,HIGH RHYTHM 1 MH,high,medium,slower,block5,13,,,,
110,14,161,HIGH RHYTHM 1 HH,high,high,slower,block5,14,,,,
111,15,169,HIGH RHYTHM 2 MH,high,medium,slower,block6,15,,,,
112,16,171,HIGH RHYTHM 2 HH,high,high,slower,block6,16,,,,
113,1,295,METRONOME 1 MH,iso,medium,equal,block5,101,,,,
114,2,298,METRONOME 1 HH,iso,high,equal,block5,102,,,,
115,3,294,METRONOME 2 MH,iso,medium,equal,block6,103,,,,
116,4,297,METRONOME 2 HH,iso,high,equal,block6,104,,,,
117,5,205,LOW RHYTHM 1 MH,low,medium,equal,block5,105,,,,
118,6,207,LOW RHYTHM 1 HH,low,high,equal,block5,106,,,,
119,7,224,LOW RHYTHM 3 MH,low,medium,equal,block6,107,,,,
120,8,226,LOW RHYTHM 3 HH,low,high,equal,block6,108,,,,
121,9,233,MEDIUM RHYTHM 1 MH,medium,medium,equal,block5,109,,,,
122,10,235,MEDIUM RHYTHM 1 HH,medium,high,equal,block5,110,,,,
123,11,250,MEDIUM RHYTHM 3 MH,medium,medium,equal,block6,111,,,,
124,12,252,MEDIUM RHYTHM 3 HH,medium,high,equal,block6,112,,,,
125,13,259,HIGH RHYTHM 1 MH,high,medium,equal,block5,113,,,,
126,14,261,HIGH RHYTHM 1 HH,high,high,equal,block5,114,,,,
127,15,269,HIGH RHYTHM 2 MH,high,medium,equal,block6,115,,,,
128,16,271,HIGH RHYTHM 2 HH,high,high,equal,block6,116,,,,
129,1,395,METRONOME 1 MH,iso,medium,faster,block5,201,,,,
130,2,398,METRONOME 1 HH,iso,high,faster,block5,202,,,,
