subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt
pilot1,5,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main,497.32537190000585,2,5.244804599999043
pilot1,18,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main,504.6230844400052,2,5.24155410000094
pilot1,21,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main,511.885231940003,2,7.907085299993923
pilot1,10,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main,521.8139452399992,5,5.442551599997387
pilot1,23,7,424,LOW RHYTHM 3 MH,low,medium,wanting_to_move,main,529.2766544400001,3,5.509102000003622
pilot1,8,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main,536.8068564400019,3,5.4583535999991
pilot1,25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,wanting_to_move,main,544.2699340000036,5,5.444358399996418
pilot1,2,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main,551.7518000400014,2,5.341647799999919
pilot1,1,1,495,METRONOME 1 MH,iso,medium,wanting_to_move,main,559.1135929400043,2,5.326081200000772
pilot1,24,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main,566.4606487400015,4,5.5925256999980775
pilot1,3,3,494,METRONOME 2 MH,iso,medium,wanting_to_move,main,574.0737612400044,1,5.443363999998837
pilot1,26,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main,581.5387151399991,5,5.524757899998804
pilot1,20,4,497,METRONOME 2 HH,iso,high,wanting_to_move,main,589.085052940005,1,5.37406230000488
