subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,wantingToMove,pleasure,beatStrength,wrt,prt,brt
666,7,7,24,LOW RHYTHM 3 MH,low,medium,wbp,main,874.5400974797085,2,2,4,11.982529099914245,1.8664741000393406,1.7829738999716938
666,14,14,61,HIGH RHYTHM 1 HH,high,high,wpb,main,897.1716685796855,3,3,2,15.46568040002603,4.066237999941222,8.298961900058202
666,26,10,35,MEDIUM RHYTHM 1 HH,medium,high,pwb,main,932.0024851796916,2,4,4,6.115871599991806,5.449688900029287,3.0163808000506833
666,43,11,50,MEDIUM RHYTHM 3 MH,medium,medium,bpw,main,953.584458379657,4,3,4,0.7998141000280157,2.649694100022316,10.298795000067912
666,30,14,61,HIGH RHYTHM 1 HH,high,high,pwb,main,974.3328421796905,4,2,5,1.5829897999064997,4.5499066999182105,1.4499316000146791
666,11,11,50,MEDIUM RHYTHM 3 MH,medium,medium,wbp,main,988.9143606796861,2,3,4,410.65376270003617,3.3658099999884143,3.3665807000361383
666,27,11,50,MEDIUM RHYTHM 3 MH,medium,medium,pbw,main,1413.3007724797353,5,4,4,2.3829185999929905,1.4348853999981657,2.4999820000957698
666,8,8,26,LOW RHYTHM 3 HH,low,high,wbp,main,1426.6333840796724,3,2,5,1.7832961999811232,4.016156199970283,3.4332714999327436
666,46,14,61,HIGH RHYTHM 1 HH,high,high,bwp,main,1442.8654098797124,2,1,2,3.0006558001041412,1.565377700026147,2.3832728000124916
666,25,9,33,MEDIUM RHYTHM 1 MH,medium,medium,pwb,main,1456.8142297797604,3,2,4,0.8496705000288785,16.98236020002514,1.3663509999169037
