396.5331 	DATA 	Keypress: 3
396.5489 	EXP 	unnamed TextStim: text = 'trial 7 / 32'
398.5538 	EXP 	Sound  started
404.4791 	DATA 	Keypress: 1
404.4954 	EXP 	unnamed TextStim: text = 'trial 8 / 32'
406.5001 	EXP 	Sound  started
411.9429 	DATA 	Keypress: 2
411.9607 	EXP 	unnamed TextStim: text = 'trial 9 / 32'
413.9653 	EXP 	Sound  started
419.3408 	DATA 	Keypress: 3
419.3578 	EXP 	unnamed TextStim: text = 'trial 10 / 32'
421.3623 	EXP 	Sound  started
426.4194 	DATA 	Keypress: 5
426.4516 	EXP 	unnamed TextStim: text = 'trial 11 / 32'
428.4557 	EXP 	Sound  started
433.9666 	DATA 	Keypress: 1
433.9833 	EXP 	unnamed TextStim: text = 'trial 12 / 32'
435.9878 	EXP 	Sound  started
441.4783 	DATA 	Keypress: 1
441.4948 	EXP 	unnamed TextStim: text = 'trial 13 / 32'
443.5001 	EXP 	Sound  started
448.8423 	DATA 	Keypress: 1
448.8586 	EXP 	unnamed TextStim: text = 'trial 14 / 32'
450.8630 	EXP 	Sound  started
456.1556 	DATA 	Keypress: 1
456.1720 	EXP 	unnamed TextStim: text = 'trial 15 / 32'
458.1762 	EXP 	Sound  started
463.7044 	DATA 	Keypress: 1
463.7350 	EXP 	unnamed TextStim: text = 'trial 16 / 32'
465.7390 	EXP 	Sound  started
471.0000 	DATA 	Keypress: 5
472.7097 	DATA 	Keypress: space
472.7173 	EXP 	unnamed TextStim: text = 'trial 17 / 32'
474.7220 	EXP 	Sound  started
480.0115 	DATA 	Keypress: 2
480.0289 	EXP 	unnamed TextStim: text = 'trial 18 / 32'
482.0330 	EXP 	Sound  started
487.3090 	DATA 	Keypress: 4
487.3244 	EXP 	unnamed TextStim: text = 'trial 19 / 32'
489.3292 	EXP 	Sound  started
495.3047 	DATA 	Keypress: 1
495.3205 	EXP 	unnamed TextStim: text = 'trial 20 / 32'
497.3253 	EXP 	Sound  started
502.5701 	DATA 	Keypress: 2
502.6020 	EXP 	unnamed TextStim: text = 'trial 21 / 32'
504.6067 	EXP 	Sound  started
509.8483 	DATA 	Keypress: 2
509.8650 	EXP 	unnamed TextStim: text = 'trial 22 / 32'
511.8691 	EXP 	Sound  started
519.7762 	DATA 	Keypress: 2
519.7926 	EXP 	unnamed TextStim: text = 'trial 23 / 32'
521.7974 	EXP 	Sound  started
527.2400 	DATA 	Keypress: 5
527.2561 	EXP 	unnamed TextStim: text = 'trial 24 / 32'
529.2607 	EXP 	Sound  started
534.7698 	DATA 	Keypress: 3
534.7857 	EXP 	unnamed TextStim: text = 'trial 25 / 32'
536.7910 	EXP 	Sound  started
542.2494 	DATA 	Keypress: 3
542.2658 	EXP 	unnamed TextStim: text = 'trial 26 / 32'
544.2699 	EXP 	Sound  started
549.7143 	DATA 	Keypress: 5
549.7310 	EXP 	unnamed TextStim: text = 'trial 27 / 32'
551.7358 	EXP 	Sound  started
557.0775 	DATA 	Keypress: 2
557.0928 	EXP 	unnamed TextStim: text = 'trial 28 / 32'
559.0972 	EXP 	Sound  started
564.4234 	DATA 	Keypress: 2
564.4393 	EXP 	unnamed TextStim: text = 'trial 29 / 32'
566.4443 	EXP 	Sound  started
572.0369 	DATA 	Keypress: 4
572.0529 	EXP 	unnamed TextStim: text = 'trial 30 / 32'
574.0572 	EXP 	Sound  started
579.5006 	DATA 	Keypress: 1
579.5174 	EXP 	unnamed TextStim: text = 'trial 31 / 32'
581.5222 	EXP 	Sound  started
587.0470 	DATA 	Keypress: 5
587.0642 	EXP 	unnamed TextStim: text = 'trial 32 / 32'
589.0686 	EXP 	Sound  started
594.4427 	DATA 	Keypress: 1
596.5003 	EXP 	window1: mouseVisible = True
