subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
9999,0,0,110,LOW RHYTHM 2 LH,low,low,slower,practice,39.7318413000321,1,19.945026899978984,1,231
9999,0,0,356,HIGH RHYTHM 1 LH,high,low,faster,practice,61.68188230000669,3,19.39481099997647,1,235
9999,0,0,210,LOW RHYTHM 2 LH,low,low,equal,practice,83.09591879998334,2,19.728304899996147,1,236
9999,0,0,237,MEDIUM RHYTHM 2 LH,medium,low,equal,practice,104.84432440000819,2,19.128783499996644,1,232
9999,0,0,391,METRONOME 1 LH,iso,low,slower,practice,125.99260779999895,3,19.095831899961922,1,234
9999,0,0,137,MEDIUM RHYTHM 2 LH,medium,low,slower,practice,147.10920300002908,1,18.327316400012933,1,233
9999,13,13,159,HIGH RHYTHM 1 MH,high,medium,slower,block1,169.87418600003002,2,17.978821599972434,0,13
9999,22,6,207,LOW RHYTHM 1 HH,low,high,equal,block1,189.8884031000198,2,18.17799900000682,1,106
9999,30,14,261,HIGH RHYTHM 1 HH,high,high,equal,block1,210.08720479998738,3,17.963537400006317,0,114
9999,1,1,195,METRONOME 1 MH,iso,medium,slower,block1,230.10356820002198,1,19.29333559999941,1,1
9999,46,14,361,HIGH RHYTHM 1 HH,high,high,faster,block1,251.4162904000259,3,18.496301899955142,1,214
9999,33,1,395,METRONOME 1 MH,iso,medium,faster,block1,271.9316399000236,3,18.295819099992514,1,201
9999,10,10,135,MEDIUM RHYTHM 1 HH,medium,high,slower,block1,292.2467900000047,1,18.679446100024506,1,10
9999,26,10,235,MEDIUM RHYTHM 1 HH,medium,high,equal,block1,312.94690689997515,2,18.760914499987848,1,110
9999,29,13,259,HIGH RHYTHM 1 MH,high,medium,equal,block1,333.728422300017,2,18.811260299989954,1,113
9999,14,14,161,HIGH RHYTHM 1 HH,high,high,slower,block1,354.5614620000124,1,18.09307829994941,1,14
9999,25,9,233,MEDIUM RHYTHM 1 MH,medium,medium,equal,block1,374.6753056999878,2,19.028355200018268,1,109
9999,18,2,298,METRONOME 1 HH,iso,high,equal,block1,395.72343249997357,2,18.461641200003214,1,102
9999,41,9,333,MEDIUM RHYTHM 1 MH,medium,medium,faster,block1,416.2050506999949,3,18.695500699977856,1,209
9999,5,5,105,LOW RHYTHM 1 MH,low,medium,slower,block1,436.92054169997573,1,18.744589000009,1,5
9999,9,9,133,MEDIUM RHYTHM 1 MH,medium,medium,slower,block1,457.68474420002894,1,18.51284460001625,1,9
9999,34,2,398,METRONOME 1 HH,iso,high,faster,block1,478.21760789997643,3,18.72793819999788,1,202
9999,45,13,359,HIGH RHYTHM 1 MH,high,medium,faster,block1,498.9665003999835,1,18.361036100017373,0,213
9999,2,2,198,METRONOME 1 HH,iso,high,slower,block1,519.3474075000267,1,18.347040399967227,1,2
9999,42,10,335,MEDIUM RHYTHM 1 HH,medium,high,faster,block1,539.7299289000221,3,18.711356599989813,1,210
9999,37,5,305,LOW RHYTHM 1 MH,low,medium,faster,block1,560.4617675999762,3,18.41146650002338,1,205
9999,21,5,205,LOW RHYTHM 1 MH,low,medium,equal,block1,580.8931769999908,2,19.478552300017327,1,105
9999,17,1,295,METRONOME 1 MH,iso,medium,equal,block1,602.3923363999929,2,19.82825339998817,1,101
9999,38,6,307,LOW RHYTHM 1 HH,low,high,faster,block1,624.2571038000169,3,18.443667000043206,1,206
9999,6,6,107,LOW RHYTHM 1 HH,low,high,slower,block1,644.7056480000028,1,18.97858080000151,1,6
