subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
pilot1,36,4,397,METRONOME 2 HH,iso,high,Delayed,block1,1207.2784671783447,3,16.906269788742065,1,204
pilot1,2,2,198,METRONOME 1 HH,iso,high,Anticipated,block1,1226.2107582092285,3,16.856048107147217,0,2
pilot1,81,1,395,METRONOME 1 MH,iso,medium,Delayed,block1,1245.08464717865,2,16.28080415725708,0,201
pilot1,128,16,271,HIGH RHYTHM 2 HH,high,high,OnTime,block1,1263.3833601474762,2,16.480865955352783,1,116
pilot1,69,5,205,LOW RHYTHM 1 MH,low,medium,OnTime,block1,1281.8821022510529,3,17.197829961776733,0,105
pilot1,14,14,161,HIGH RHYTHM 1 HH,high,high,Anticipated,block1,1301.0978121757507,3,17.13116216659546,0,14
pilot1,126,14,261,HIGH RHYTHM 1 HH,high,high,OnTime,block1,1320.2468252182007,3,17.573002099990845,0,114
pilot1,63,15,169,HIGH RHYTHM 2 MH,high,medium,Anticipated,block1,1339.8376832008362,2,17.598035097122192,0,15
pilot1,15,15,169,HIGH RHYTHM 2 MH,high,medium,Anticipated,block1,1359.453565120697,2,16.205782175064087,0,15
pilot1,18,2,298,METRONOME 1 HH,iso,high,OnTime,block1,1377.6771562099457,2,16.472584009170532,1,102
pilot1,99,3,194,METRONOME 2 MH,iso,medium,Anticipated,block1,1396.1676371097565,3,16.94778609275818,0,3
pilot1,4,4,197,METRONOME 2 HH,iso,high,Anticipated,block1,1415.1331751346588,3,17.439568042755127,0,4
pilot1,131,3,394,METRONOME 2 MH,iso,medium,Delayed,block1,1434.5906491279602,3,17.06443691253662,1,203
pilot1,94,14,361,HIGH RHYTHM 1 HH,high,high,Delayed,block1,1453.672975063324,3,17.94812512397766,1,214
pilot1,83,3,394,METRONOME 2 MH,iso,medium,Delayed,block1,1473.639398097992,3,16.83955192565918,1,203
pilot1,110,14,161,HIGH RHYTHM 1 HH,high,high,Anticipated,block1,1492.4963111877441,3,16.59756302833557,0,14
pilot1,112,16,171,HIGH RHYTHM 2 HH,high,high,Anticipated,block1,1511.1117951869965,3,18.048192024230957,0,16
pilot1,19,3,294,METRONOME 2 MH,iso,medium,OnTime,block1,1531.1778092384338,1,17.4062020778656,0,103
pilot1,139,11,350,MEDIUM RHYTHM 3 MH,medium,medium,Delayed,block1,1550.6019370555878,1,20.157177925109863,0,211
pilot1,91,11,350,MEDIUM RHYTHM 3 MH,medium,medium,Delayed,block1,1572.7770502567291,2,18.515165090560913,0,211
pilot1,78,14,261,HIGH RHYTHM 1 HH,high,high,OnTime,block1,1593.310007095337,3,18.223209142684937,0,114
pilot1,62,14,161,HIGH RHYTHM 1 HH,high,high,Anticipated,block1,1676.033872127533,3,16.580631971359253,0,14
pilot1,76,12,252,MEDIUM RHYTHM 3 HH,medium,high,OnTime,block1,1694.632264137268,3,16.58959698677063,0,112
pilot1,54,6,107,LOW RHYTHM 1 HH,low,high,Anticipated,block1,1713.2394301891327,3,16.989446878433228,0,6
pilot1,124,12,252,MEDIUM RHYTHM 3 HH,medium,high,OnTime,block1,1732.246770143509,2,16.11434507369995,1,112
pilot1,90,10,335,MEDIUM RHYTHM 1 HH,medium,high,Delayed,block1,1750.3786821365356,2,16.681277990341187,0,210
pilot1,46,14,361,HIGH RHYTHM 1 HH,high,high,Delayed,block1,1769.0858671665192,3,16.839375019073486,1,214
pilot1,65,1,295,METRONOME 1 MH,iso,medium,OnTime,block1,1787.9431171417236,2,16.28917407989502,1,101
pilot1,41,9,333,MEDIUM RHYTHM 1 MH,medium,medium,Delayed,block1,1806.2501511573792,2,16.589317798614502,0,209
pilot1,141,13,359,HIGH RHYTHM 1 MH,high,medium,Delayed,block1,1824.857318162918,1,17.56466794013977,0,213
pilot1,52,4,197,METRONOME 2 HH,iso,high,Anticipated,block1,1844.439824104309,3,16.96432113647461,0,4
pilot1,123,11,250,MEDIUM RHYTHM 3 MH,medium,medium,OnTime,block1,1863.4220561981201,2,17.239530086517334,1,111
pilot1,53,5,105,LOW RHYTHM 1 MH,low,medium,Anticipated,block1,1882.6794402599335,2,16.20577383041382,0,5
pilot1,48,16,371,HIGH RHYTHM 2 HH,high,high,Delayed,block1,1900.9031162261963,1,16.48098111152649,0,216
pilot1,50,2,198,METRONOME 1 HH,iso,high,Anticipated,block1,1919.4019510746002,2,16.747681140899658,0,2
pilot1,121,9,233,MEDIUM RHYTHM 1 MH,medium,medium,OnTime,block1,1938.1675112247467,2,17.139415979385376,1,109
pilot1,80,16,271,HIGH RHYTHM 2 HH,high,high,OnTime,block1,1957.324895143509,2,17.64811086654663,1,116
pilot1,108,12,152,MEDIUM RHYTHM 3 HH,medium,high,Anticipated,block1,1976.990787267685,3,16.93935513496399,0,12
pilot1,5,5,105,LOW RHYTHM 1 MH,low,medium,Anticipated,block1,1995.9480421543121,3,17.681973218917847,0,5
pilot1,114,2,298,METRONOME 1 HH,iso,high,OnTime,block1,2015.6472420692444,3,16.155733108520508,0,102
pilot1,70,6,207,LOW RHYTHM 1 HH,low,high,OnTime,block1,2033.8209211826324,3,16.655956983566284,0,106
pilot1,28,12,252,MEDIUM RHYTHM 3 HH,medium,high,OnTime,block1,2052.4947311878204,1,16.755927085876465,0,112
pilot1,109,13,159,HIGH RHYTHM 1 MH,high,medium,Anticipated,block1,2071.2686052322388,3,17.206119060516357,0,13
pilot1,30,14,261,HIGH RHYTHM 1 HH,high,high,OnTime,block1,2090.4927501678467,2,17.331083059310913,1,114
pilot1,6,6,107,LOW RHYTHM 1 HH,low,high,Anticipated,block1,2109.8416590690613,2,16.731668949127197,0,6
pilot1,97,1,195,METRONOME 1 MH,iso,medium,Anticipated,block1,2218.492117166519,2,16.988961935043335,0,1
pilot1,32,16,271,HIGH RHYTHM 2 HH,high,high,OnTime,block1,2237.49898314476,1,16.68928098678589,0,116
pilot1,68,4,297,METRONOME 2 HH,iso,high,OnTime,block1,2256.206160068512,3,16.43101692199707,0,104
pilot1,88,8,326,LOW RHYTHM 3 HH,low,high,Delayed,block1,2274.6549022197723,2,16.43941593170166,0,208
pilot1,9,9,133,MEDIUM RHYTHM 1 MH,medium,medium,Anticipated,block1,2293.1120562553406,1,16.49758291244507,1,9
pilot1,3,3,194,METRONOME 2 MH,iso,medium,Anticipated,block1,2311.6275582313538,2,17.68965220451355,0,3
pilot1,47,15,369,HIGH RHYTHM 2 MH,high,medium,Delayed,block1,2331.3350632190704,3,18.10648202896118,1,215
pilot1,39,7,324,LOW RHYTHM 3 MH,low,medium,Delayed,block1,2351.459454059601,1,17.081393003463745,0,207
pilot1,66,2,298,METRONOME 1 HH,iso,high,OnTime,block1,2370.566823244095,3,17.814727067947388,0,102
pilot1,125,13,259,HIGH RHYTHM 1 MH,high,medium,OnTime,block1,2390.399342060089,2,16.639375925064087,1,113
pilot1,37,5,305,LOW RHYTHM 1 MH,low,medium,Delayed,block1,2409.0566182136536,1,16.697659015655518,0,205
pilot1,79,15,269,HIGH RHYTHM 2 MH,high,medium,OnTime,block1,2427.7721452713013,2,16.605924129486084,1,115
pilot1,25,9,233,MEDIUM RHYTHM 1 MH,medium,medium,OnTime,block1,2446.395967245102,2,16.597625017166138,1,109
pilot1,35,3,394,METRONOME 2 MH,iso,medium,Delayed,block1,2465.0114691257477,2,16.580950021743774,0,203
pilot1,93,13,359,HIGH RHYTHM 1 MH,high,medium,Delayed,block1,2483.6103632450104,2,16.730937004089355,0,213
pilot1,103,7,124,LOW RHYTHM 3 MH,low,medium,Anticipated,block1,2502.35919213295,1,16.631561994552612,1,7
pilot1,11,11,150,MEDIUM RHYTHM 3 MH,medium,medium,Anticipated,block1,2521.016402244568,2,16.589345932006836,0,11
pilot1,34,2,398,METRONOME 1 HH,iso,high,Delayed,block1,2539.6234800815582,2,16.690062046051025,0,202
pilot1,136,8,326,LOW RHYTHM 3 HH,low,high,Delayed,block1,2558.33082818985,3,17.365187168121338,1,208
pilot1,40,8,326,LOW RHYTHM 3 HH,low,high,Delayed,block1,2577.7131972312927,3,16.705965042114258,1,208
pilot1,133,5,305,LOW RHYTHM 1 MH,low,medium,Delayed,block1,2596.437084197998,1,17.3729088306427,0,205
